1391			102
400	
	495
2987	倒下	5
3527	倒伏	2
10543	倒入	2
20268	倒卖	1
32925	倒卧	2
8523	倒地	4
1918	倒塌	19
20792	倒挂	3
3564	倒损	5
32776	倒掉	2
14425	倒数	3
16866	倒数第	1
19231	倒查	1
8486	倒灌	3
23602	倒班	1
10870	倒背如流	1
29876	倒能	1
27665	倒退	1
18371	倒逼	4
23288	倒闭	2
26365	倒霉	2
31443	倔	1
31187	倔强	2
30433	倘若	1
1998	候	1
24575	候任	5
29490	候补委员	2
13881	候选人	11
4771	倚重	3
4803	借	14
6657	借了	3
22970	借以	2
4282	借住	1
23470	借债	3
24896	借出去	1
6275	借到	1
9161	借助	3
10438	借口	3
17995	借尸还魂	1
22461	借教	1
10519	借机	8
28529	借条	1
9647	借来	3
7409	借款	7
16865	借此	7
14659	借此机会	3
31986	借用	1
30292	借着	2
30163	借给	1
20559	借腹	1
27848	借记卡	2
22221	借读费	1
28225	借调	2
27965	借贷	3
30185	借车	1
27725	借道	1
30286	借酒	2
15528	借鉴	7
27952	借钱	2
32292	借题发挥	1
15818	倡导	14
25315	倡导者	1
25185	倡议	6
314	倪书	1
45	倪书年	1
380	倪书栋	1
19	倪可为	1
23851	倭寇	1
15294	债	3
28491	债主	1
14741	债券	6
15311	债券市场	2
7640	债务	13
28599	债务人	1
27332	债务纠纷	1
27943	债权	2
16224	债权人	4
16237	债权债务	1
18480	债转股	2
7393	值	6
7281	值不值	1
7801	值为	1
9797	值守	2
10696	值得	24
17665	值得一提的是	6
30532	值得尊重	1
7596	值得注意	12
32338	值日	1
6543	值班	5
7705	值班人员	1
31165	值钱	1
32451	倾倒	1
9962	倾倒垃圾	1
14348	倾向	12
12717	倾家荡产	3
5847	倾斜	11
22010	倾斜政策	1
15435	倾注	3
9364	倾盆	1
9520	倾翻	1
29745	倾诉	1
28975	偃旗息鼓	1
4988	假	14
22146	假书	1
20236	假借	2
16289	假冒	3
16145	假冒伪劣	4
17531	假劣	1
13930	假如	1
5494	假寐	1
32619	假山	1
30510	假摔	1
24948	假日	1
31746	假时	1
20183	假期	9
33017	假牙	1
6902	假药	1
7459	假设	4
22430	假道	1
19978	假释	1
7723	偌大	2
4434	偏	7
29345	偏下	1
5935	偏低	5
31614	偏偏	1
16666	偏僻	3
2188	偏北风	1
8412	偏南	2
24919	偏向	1
4426	偏多	1
32780	偏头痛	2
14069	偏好	2
21986	偏差	3
32770	偏爱	2
17166	偏瘫	1
27953	偏离	1
23339	偏袒	1
33205	偏见	1
15139	偏软	1
19934	偏轻	1
22282	偏远	2
15596	偏远地区	1
15201	偏重	2
411	做	174
21936	做主	1
16748	做事	3
14462	做人	5
26757	做作	1
535	做出	60
2338	做到	42
1917	做好	48
14401	做好事	1
13905	做客	6
31845	做工	2
16944	做强	1
11123	做得好	2
7179	做成	1
24688	做文章	1
11263	做有	1
29953	做梦	2
6008	做法	28
17388	做生意	3
12238	做菜	1
7282	做起	5
23562	做鉴	1
5196	做顿	1
4398	做饭	5
2310	停	13
31863	停下	3
23159	停下来	3
7847	停业	7
30975	停业整顿	1
4489	停产	8
22655	停发	1
17876	停售	1
10937	停在	3
25788	停堆	1
25789	停备	1
7474	停工	2
18322	停建	2
14309	停征	2
3391	停息	1
22723	停掉	1
21361	停放	3
29018	停旧	1
25800	停机	1
7949	停止	29
28699	停步	1
22415	停泊	2
7740	停滞	9
1713	停牌	2
3657	停电	2
19750	停留	6
17307	停着	1
8509	停职	9
8771	停职检查	3
23709	停药	1
30805	停课	1
31241	停车	3
24185	停车场	2
25814	停运	1
22673	健	1
18448	健体	1
5257	健全	24
27301	健全人格	1
13114	健全制度	2
1138	健在	1
6336	健康	79
15725	健康成长	4
6404	健康状况	1
26503	健教	1
3970	健身	3
30390	健身房	1
10449	健身活动	1
28973	偶们	2
20135	偶像	3
20878	偶像剧	1
5397	偶尔	9
19431	偶然	3
31184	偷	2
32381	偷倒	1
10542	偷偷	9
22125	偷偷摸摸	2
26536	偷情	1
24814	偷拿	1
14914	偷排	4
14917	偷放	2
25362	偷渡	1
24789	偷用	1
23869	偷盗	3
12739	偷税	1
24460	偷税漏税	1
17117	偷窃	4
4884	偷窥	1
10974	偷走	2
31182	偷配	1
5316	偷钱	1
31180	偷闻	1
14731	偿债	1
14711	偿还	4
14696	偿还债务	2
20332	傅明生	3
28594	傅莉	1
28512	傅莉娟	1
14148	傅莹	16
14311	傅莹曾	1
16770	傅鸿鹏	1
2237	傍晚	9
17418	储备	10
3611	储备物资	1
2328	储存	9
18887	储殷	1
33189	储物柜	1
3651	储物间	1
12906	储蓄	2
18504	储蓄率	1
29488	储蓄额	1
3868	储藏	2
33098	储藏室	1
7581	储量	3
10719	储面	1
19679	催	2
29287	催债	2
10264	催泪瓦斯	2
19709	催烦	1
14590	催生	7
28564	催生出	1
19870	催要	1
2592	像	79
5200	像是	9
22442	僧	1
13005	僧人	2
22490	僧侣	2
22420	僧团	1
22459	僧才	1
19613	僵化	2
12032	僵尸	4
6724	僵硬	3
6737	儒	1
27809	儒家文化	1
7338	儒林	1
7163	儒雅	1
18995	儿	6
4359	儿女	6
1187	儿媳	3
1172	儿子	25
16399	儿科	7
13503	儿科医生	7
4054	儿童	36
6264	儿童医院	4
29383	儿童用品	1
29983	儿童节	1
22201	儿童读物	2
407	允许	29
325	元	71
25088	元代	1
19148	元华	1
6690	元去	1
19773	元宝山区	1
22846	元山	1
27862	元旦	1
4828	元朗	1
25071	元朝	1
20928	元素	1
27753	元老	1
17127	元首	8
6513	兄妹	1
4392	兄弟	6
6603	兄弟俩	1
29352	兄弟姐妹	2
25535	兄长	1
31537	充值	2
5260	充分	43
13119	充分体现	9
18375	充分准备	2
13958	充分利用	4
11531	充分发挥	19
24277	充分考虑	3
31146	充分肯定	1
22620	充分认识	1
15192	充分说明	5
14982	充分调动	2
18574	充实	2
24667	充抵	1
11802	充沛	1
15529	充满	9
10176	充满信心	7
18398	充满希望	1
18602	充满生机	1
19346	充电	2
21569	充耳不闻	1
15890	充裕	5
2272	充足	4
17395	充足率	3
26584	兆	1
5024	先	73
24135	先例	2
21412	先发制人	2
4765	先后	34
21277	先唱	1
20766	先天不足	1
5222	先天性	1
30436	先富起来	1
25117	先导	1
15778	先导性	1
26262	先录	1
19300	先得	1
10007	先救	1
32425	先易后难	1
7663	先是	6
7309	先期	3
27996	先机	1
32122	先款	1
19471	先河	4
3274	先生	17
31085	先罚	1
12502	先行	9
11832	先行者	1
7981	先进	21
30729	先进个人	1
20346	先进典型	1
27005	先进性	1
26448	先进经验	1
21995	先锋	1
29804	先驱	1
873	光	18
17023	光伏	2
27871	光大银行	1
32049	光头	1
29614	光学	2
23295	光彩	2
9151	光明	3
9354	光明日报	5
26038	光是	2
18064	光景	1
12830	光棍	2
17290	光环	3
25799	光电	3
18583	光纤	3
24568	光绪	1
9439	光缆	4
26585	光网	1
29679	光芒	1
24701	光荣	2
30724	光荣义务	1
26167	光荣称号	1
18766	光说不练	2
20850	光鲜亮丽	1
929	克	4
17473	克制	6
12115	克强	1
28903	克扣	1
22787	克拉	1
6417	克服	4
879	克林顿	1
2621	克林顿政府	3
11069	克莱斯勒	1
14861	免	3
32182	免予	1
5019	免于	1
1508	免去	7
27867	免年费	1
14879	免征	5
9374	免得	2
26938	免息	1
27843	免收	2
19895	免死	1
6150	免疫	2
25969	免票	1
23901	免税	2
22559	免税店	12
1683	免职	3
28434	免试	1
18845	免责	4
2270	免费	20
14860	免除	6
23920	兑	1
26379	兑换	3
5778	兑现	9
10525	党	31
1836	党中央	29
23363	党人	1
14773	党代会	2
10679	党内	13
21978	党务	1
9173	党员	10
21138	党员干部	1
25881	党员队伍	1
13362	党和人民	3
13353	党和国家	11
10201	党和政府	7
4693	党委	15
4674	党委书记	18
10660	党委委员	3
8819	党委政府	3
8751	党工委	4
22011	党建	1
18963	党报	4
21990	党支部	2
12740	党政	6
26692	党政军	1
18932	党政干部	1
11401	党政机关	1
18930	党政领导	1
13615	党派	1
15717	党的基本	2
13359	党的建设	3
10571	党的纪律	2
26010	党的路线	1
13765	党的领导	7
22005	党章	1
22631	党管	1
10551	党纪	5
12646	党纪国法	4
11414	党纪处分	1
8742	党组	19
10575	党组书记	14
21973	党组织	1
10643	党规	2
23777	党鞭	1
27015	党风	1
13813	党风廉政	6
23794	党首	2
18580	兜	2
26030	兜住	1
29001	兜兜	2
31067	兜售	1
17435	兜圈子	2
25041	兜底	2
4442	入	32
30779	入伍	1
4258	入住	3
8176	入侵	1
21992	入党	1
15209	入冬	1
10682	入刑	1
10452	入口	3
7697	入口处	3
14848	入园	6
28983	入围	2
24168	入场	1
24035	入境	1
3565	入夜	1
14508	入学	11
14948	入学年龄	1
25661	入市	1
10771	入库	1
30244	入庭	1
8644	入户	3
18105	入手	5
21779	入托	1
5284	入春	1
8534	入村	1
4444	入梅	1
21661	入法	1
10211	入狱	4
10505	入罪	1
5961	入职	3
12764	入股	2
26535	入行	1
7416	入账	2
29712	入轨	1
16886	入选	6
22651	入选者	2
29105	入门	1
6676	入院	4
28698	入额	1
301	全	67
5649	全世界	18
13361	全会	3
7071	全体	14
11951	全体会议	28
33203	全体学生	1
6664	全免	3
26848	全免费	2
26007	全党	1
18811	全党全军	2
13707	全党全国	1
19481	全军	1
6257	全副武装	1
27293	全副精力	1
1844	全力	16
14115	全力以赴	3
18238	全力支持	2
27858	全功能	1
32811	全区	2
9593	全厂	1
9077	全县	5
14257	全团	2
263	全国	205
16995	全国上下	4
7572	全国人大	107
15551	全国人大常务委员会	1
4769	全国人大常委会	33
12673	全国人大教科文卫委员会	1
28351	全国人大民族委员会	1
18877	全国人大法律委员会	4
4817	全国人民代表大会	18
28367	全国人民代表大会常务委员会	1
18466	全国代表大会	7
24947	全国假日办	1
13981	全国妇联	8
13771	全国工商联	4
11453	全国政协	103
23763	全国联网	3
24231	全场	2
7102	全城	1
18704	全域	1
31236	全塘	1
9123	全境	6
9890	全天	3
8075	全天候	3
17562	全套	1
9299	全家	5
6191	全家人	4
11157	全家福	1
10740	全封闭	1
13851	全局	4
15959	全局性	4
9848	全山	1
4428	全市	15
8670	全市性	1
10800	全年	30
26099	全开	1
21013	全心全意	1
15973	全托	1
812	全文	3
24728	全文如下	2
8280	全新	2
12938	全方位	6
30781	全日制	1
26170	全明星	2
20004	全是	1
31416	全景	1
23001	全权	1
13056	全权负责	1
32323	全村	1
32175	全某	1
7010	全校	3
21996	全校师生	1
31309	全款	1
18723	全民	9
19492	全班	2
1456	全球	51
17056	全球化	8
16530	全球性	7
25131	全球战略	1
711	全省	10
2431	全神贯注	1
23766	全科	2
1972	全程	10
27056	全线	1
6815	全绿	1
26570	全网	1
11162	全美	2
1007	全胜	1
26271	全责	1
27211	全败	1
7651	全资	3
3986	全身	6
29061	全身心	1
1189	全身性	1
19213	全过程	5
2890	全部	89
25014	全部遭	3
3899	全都	6
6904	全镇	1
8933	全院	2
720	全面	127
15993	全面完成	3
16452	全面实施	14
14586	全面实现	2
15561	全面推广	2
11438	全面推行	4
12945	全面提高	4
21680	全面禁止	3
14285	全面落实	7
22908	全额	2
4291	全黑	1
14303	八	8
12728	八一	2
24707	八万	1
29355	八万元	1
8372	八上	1
13186	八个	2
20398	八九十岁	2
25687	八九年	1
31360	八五折	1
20252	八件	1
28320	八副	1
30497	八千	1
24745	八千多	1
29379	八千多元	1
1066	八大	5
29862	八家	1
20686	八小时	1
8736	八届	2
3491	八年	1
26166	八强	1
31316	八成	1
15379	八柱	2
14012	八百万	1
29776	八箭	1
1588	八道	1
10614	八项	15
13735	公	6
19695	公之于众	3
5768	公交	2
5739	公交站	1
28276	公交线路	2
5708	公交车	6
3193	公众	44
13185	公信	1
13808	公信力	5
17267	公公	3
526	公共	23
5875	公共事业	2
5603	公共事务	1
8686	公共交通	5
21853	公共关系	1
13834	公共利益	5
18419	公共卫生	7
32231	公共场合	1
2414	公共场所	9
18559	公共安全	4
11324	公共政策	3
664	公共服务	15
15109	公共汽车	1
21631	公共秩序	1
18775	公共设施	1
29689	公共课	1
10511	公共财产	1
16555	公共资源	3
7222	公关	1
3449	公分	3
14866	公办	5
6140	公务	8
14400	公务人员	2
5856	公务员	18
14455	公务员法	2
11419	公务活动	2
12556	公务用车	3
10623	公务车	1
9897	公号	3
379	公司	86
10574	公司党委	1
18331	公司制	1
24794	公司化	1
18806	公司法人	2
13019	公司章程	1
12789	公司简介	1
1606	公告	21
11522	公告栏	2
7961	公园	6
20515	公婆	2
32790	公子	3
3279	公安	14
4920	公安分局	4
6125	公安厅	4
1084	公安局	27
14495	公安干警	2
4957	公安机关	24
32842	公安系统	2
1491	公安部	12
7149	公安部门	7
25342	公害	1
29091	公家	1
11204	公寓	3
23021	公尺	2
628	公布	77
14442	公布于众	1
7429	公平	40
24682	公平合理	4
18406	公平正义	6
15314	公平竞争	6
22073	公序良	2
2543	公开	93
13975	公开信	2
29630	公开化	1
15362	公开市场	1
14367	公开性	1
13733	公心	1
7666	公报	2
20493	公敌	2
22047	公文	1
9061	公斤	4
28162	公有	1
25729	公有制	4
25735	公有土地	2
13858	公权力	2
19237	公检法	1
1552	公款	7
10516	公款吃喝	1
10469	公正	20
20354	公正司法	2
1408	公正处理	1
20272	公正廉洁	1
31057	公正性	1
7784	公民	27
762	公民权利	2
30675	公演	1
10498	公然	1
14560	公用	5
16125	公用事业	5
16249	公用企业	1
11999	公益	12
26192	公益事业	3
16354	公益性	7
31420	公益活动	1
14371	公示	10
32599	公示栏	1
23296	公社	2
30997	公私	1
28537	公积金	4
16328	公立	8
16358	公立医院	9
31477	公立学校	1
17489	公章	2
15821	公约	4
5924	公考	1
14158	公职	2
13863	公职人员	9
16107	公认	7
21624	公证	2
21618	公证人	1
5153	公诉	6
11195	公诉人	1
11141	公诉方	1
3600	公路	15
12509	公车	2
18644	公道	4
2758	公里	44
17807	公顷	1
21303	公鸡	1
1593	六	15
14923	六一	2
24363	六七个	1
32542	六七十	1
17232	六七十岁	2
17199	六七千	1
23282	六七成	2
27305	六三	1
2579	六个	6
6377	六个月	2
13382	六中全会	7
13806	六五	2
16027	六件	2
21165	六位	3
25550	六倍	1
23810	六分之一	1
17338	六十	1
24083	六十万	1
25634	六十多	1
17365	六十岁	1
29416	六千元	1
18914	六周年	2
28337	六地	1
27487	六大	5
15070	六大类	1
29753	六天	2
25965	六安	1
28713	六家	2
10082	六小时	1
5822	六年	4
26854	六年级	1
25079	六式	1
25173	六成	3
29348	六户	1
1614	六支	1
13307	六斤	2
24581	六方	1
15447	六方会谈	7
18088	六条	1
26565	六模	1
8348	六点	3
20924	六点钟	1
26095	六环路	1
24761	六百	1
22236	六盘水市	1
9736	六队	1
26836	六项	2
30504	兮兮	1
29435	兰冰	1
27371	兰州军区	1
29357	兰常照	1
29377	兰熙	1
26050	兰考	1
8790	兰考县	1
2357	共	63
7937	共产党	4
9301	共产党员	2
12454	共享	17
29309	共债	1
9381	共出动	1
24589	共分	2
281	共同	86
18695	共同体	3
15523	共同利益	8
14150	共同努力	18
22538	共同商定	1
17897	共同点	4
22800	共同社	3
32721	共同话题	1
27341	共同财产	4
23400	共和党	1
23388	共和党人	1
15669	共和国	2
15836	共商	3
31659	共商国是	1
15833	共建	6
10589	共性	3
1697	共有	29
14983	共治	3
20207	共融	3
5854	共计	11
13677	共议	1
605	共识	28
10668	共青团	6
22018	共青团中央	1
25673	共鸣	1
1687	关	4
3886	关上	2
9873	关中	1
9875	关中地区	1
14428	关乎	7
31173	关了门	1
569	关于	167
17012	关停	13
14718	关切	29
18813	关口	5
28794	关在	2
24793	关头	2
632	关心	61
10186	关怀	5
7086	关机	2
11634	关村	1
972	关注	163
16097	关注度	5
17873	关注点	5
15651	关照	3
18756	关爱	5
27969	关猫	1
17086	关税	5
3353	关窗	3
3329	关窗户	3
2598	关系	113
20661	关系人	2
31637	关系密切	1
23464	关系紧张	3
7742	关联	6
25722	关联度	2
25631	关联性	2
17031	关起门来	2
14728	关进	2
6470	关键	37
31070	关键作用	1
25236	关键在于	3
18304	关键性	1
30084	关键技术	1
21989	关键时刻	2
22886	关键点	2
17611	关键环节	4
6866	关键词	4
27283	关键问题	3
10021	关门	2
21980	关门主义	1
19060	关门打狗	1
3831	关闭	13
23455	兴业	3
27847	兴业银行	2
20355	兴利	1
16473	兴办	1
7323	兴县	1
33088	兴叹	1
946	兴奋	10
24802	兴庆区	1
32310	兴建	1
24821	兴旺	1
13358	兴旺发达	3
21309	兴盛	1
24722	兴致	2
17589	兴起	6
15315	兴趣	6
19565	兴趣不大	1
29433	兴趣爱好	1
18672	兴边	1
15483	兴风作浪	1
16808	兴齐	1
9537	兵	2
8244	兵力	2
29887	兵器工业	1
29051	兵器工业集团公司	4
17746	兵团	1
29098	兵工	2
30782	兵役	1
30774	兵役法	1
1717	其	192
22271	其一	3
22276	其三	3
265	其中	211
26724	其乐融融	1
22278	其二	3
28589	其人	1
241	其他	149
10051	其他人	9
7095	其他同学	1
27585	其他支出	1
7479	其他费用	1
4672	其以	1
5969	其余	16
22964	其内	1
7752	其后	14
19937	其妻	1
11593	其它	10
2253	其实	54
21154	其时	1
14487	其次	16
29841	其自	1
31450	其远	1
7210	其间	13
2974	具	17
512	具体	92
29159	具体内容	1
28151	具体分析	1
21290	具体办法	2
20690	具体化	1
18136	具体安排	1
28859	具体实施	1
12611	具体情况	1
15963	具体措施	4
15562	具体操作	1
15998	具体来说	3
14054	具体表现	1
22337	具体说来	1
4658	具名	2
6799	具备	20
18425	具备条件	2
498	具有	69
10667	典型	23
15662	典型示范	1
26220	典籍	1
30865	典范	2
1305	养	10
28938	养不起	1
17084	养人	1
22458	养分	1
25589	养孩	1
1204	养成	6
9787	养护	1
2916	养殖	4
15994	养殖业	2
15012	养殖场	4
17228	养父母	1
29424	养生	1
414	养病	1
12205	养老	18
5867	养老保险	7
12954	养老金	11
16742	养老院	2
5088	养育	6
24297	养蚕	1
4648	兼	12
4857	兼任	10
18314	兼容	1
29607	兼市	1
7627	兼并	7
5202	兼顾	11
27104	冀	1
9244	冀中平原	1
339	内	154
8750	内丘	2
19152	内则	1
29017	内务司法委员会	1
7066	内向	4
22647	内因	1
16414	内在	6
1555	内地	19
31664	内外交困	1
21515	内外部	1
18268	内外销	1
31719	内大	1
14377	内存	5
4822	内容	88
12487	内幕	2
5436	内心	5
28107	内情	2
23373	内战	1
11605	内控	3
2516	内政	2
17620	内政外交	2
8411	内涝	5
12108	内涵	8
16352	内生	3
19678	内知	1
2240	内脏	1
29821	内蒙	1
6891	内蒙古	12
14816	内蒙古自治区	6
31168	内衣	1
17899	内裤	1
30408	内西	1
13200	内设	1
19055	内资	1
924	内部	36
13092	内部人员	2
23334	内部消息	1
18164	内阁	7
17635	内陆	1
9242	内除	1
17605	内需	2
120	再	167
24486	再三	4
5549	再也	6
22596	再也不会	3
18765	再保险	1
11400	再创	3
10766	再创新高	4
12158	再加	2
31124	再加之	1
14899	再多	1
6636	再婚	3
13976	再孕	1
11983	再审	6
8335	再对	1
14910	再就是	4
6933	再度	11
26764	再忙	1
15866	再有	6
28421	再未	2
1461	再次	82
24547	再次出现	3
14760	再次发生	2
30026	再犯	1
21946	再现	4
13991	再生	4
12958	再生产	1
25826	再生能源	2
32645	再生资源	1
31452	再约	2
7440	再者	2
5442	再见	3
22906	再视	1
29979	再认	1
17223	再说	6
28804	再说下去	1
17020	再起	1
29149	再过	1
17795	再进一步	2
32745	再远	1
7224	再造	1
9536	再配	1
3714	冒	4
13268	冒充	6
27076	冒烟	1
32712	冒犯	1
31278	冒用	1
13409	冒险	3
12092	冒领	1
4680	写	39
12414	写作	3
25565	写作者	1
11359	写入	15
12405	写到	2
27560	写成	2
25052	写文章	1
23093	写日记	1
11007	写明	2
6265	写有	1
14720	写法	1
20319	写照	1
14468	写诗	2
14288	写进	1
12381	写进去	1
4727	写道	11
11851	军	9
12582	军中	1
8033	军事	32
15492	军事冲突	1
27553	军事力量	2
16985	军事化	1
21514	军事同盟	4
27278	军事实力	3
15453	军事演习	7
25118	军事行动	1
30749	军事训练	1
23465	军事设施	3
13263	军人	2
28052	军人家庭	2
9747	军令状	1
27572	军兵种	1
21924	军力	4
22805	军区	1
29897	军团	1
19499	军委	1
18799	军委主席	1
13261	军婚	1
13266	军属	1
18711	军工	5
29848	军工企业	2
29129	军手	1
25387	军控	1
18651	军政	2
20396	军方	26
28087	军机	2
8147	军民	9
18561	军民团结	1
15406	军演	10
18752	军烈属	1
8136	军用	4
8138	军用飞机	1
27367	军界	1
19495	军种	3
29252	军称	1
27354	军级	1
27591	军网	1
18168	军舰	2
19405	军衔	1
11850	军装	2
8080	军贸	2
8079	军费	8
17601	军费开支	5
13265	军队	12
12641	军需	1
12252	农	4
817	农业	28
21590	农业与农村委员会	1
8636	农业局	1
656	农业户口	1
15934	农业部	10
16077	农业部长	3
16110	农业部门	2
12043	农产品	13
4375	农作物	7
31825	农历	1
31111	农发行	1
27872	农商	1
26076	农场	1
24005	农场主	1
18743	农垦	1
12186	农家	4
12365	农家乐	3
26936	农家院	1
25440	农心	1
18795	农惠农	1
11585	农户	5
26131	农房	1
24008	农技	2
25927	农机	1
14624	农机厂	1
3623	农村	62
10823	农村公路	3
12037	农村土地	5
18753	农村基层	1
15641	农村教师	1
17634	农林	4
7562	农民	38
532	农民工	14
15793	农活	1
25076	农牧	1
9757	农用	1
3258	农用车	3
4289	农田	9
24007	农科教	1
30703	农网	1
16010	农膜	4
16007	农药	6
27877	农行	1
4005	农贸	1
3987	农资	1
31030	冠	1
7134	冠以	4
10482	冠冕堂皇	1
19278	冠军	6
30254	冠县	4
27150	冠心病	1
31993	冠水	2
20463	冤	1
13115	冤假错案	5
26383	冤枉钱	1
28729	冤案	1
13118	冤错	3
23035	冥想	3
18540	冬	1
16505	冬天	6
11820	冬奥会	3
11815	冬季	6
1589	冬虫草	1
14777	冮	1
21847	冯	1
9419	冯宿桥	1
17900	冯文海	1
27434	冯正霖	1
2572	冯洪章	1
4934	冯炜侠	1
4983	冯炜霞	1
20094	冯远征	3
26253	冯骥才	2
3112	冰	2
6975	冰冷	3
29311	冰冻三尺非一日之寒	1
6409	冰封	1
20728	冰山一角	2
26917	冰岛	2
6335	冰晶	1
8968	冰柱	1
32111	冰毒	1
16625	冰火	2
23724	冰点	3
17701	冰盖	1
17710	冰雪	2
1916	冰雹	22
3269	冲	12
33239	冲上来	1
9496	冲下来	1
9503	冲倒	1
30869	冲冲喜	1
3464	冲出	8
12140	冲击	8
30841	冲击波	1
31586	冲到	1
159	冲刷	1
6581	冲刺	2
28411	冲动	2
31063	冲劲	1
3397	冲向	2
30867	冲喜	1
30166	冲回	1
10020	冲坏	1
8524	冲垮	2
9150	冲开	2
9297	冲撞	1
27964	冲来	1
9122	冲毁	2
4354	冲洗	2
26268	冲着	2
17480	冲突	10
9573	冲翻	1
9570	冲至	1
8581	冲走	6
3932	冲过来	1
3456	冲进	1
8430	冲锋舟	2
15252	决不	4
19939	决不会	1
13885	决不允许	2
18332	决不能	4
9163	决口	4
9721	决堤	2
1450	决定	116
23988	决定书	2
18579	决定性	2
14287	决定权	2
13873	决心	18
27261	决择	1
22852	决断	3
11561	决策	25
14245	决策层	1
25842	决策权	2
27738	决策者	1
17703	决算	3
13647	决胜	4
12706	决议	27
22257	况且	3
7896	冶	1
19798	冶金	1
21147	冶金工业	1
21828	冷冰冰	2
6385	冷冻	2
10690	冷却	2
19777	冷却塔	1
21479	冷战	3
19151	冷水	1
2768	冷涡	5
20098	冷淡	1
17250	冷清	2
20142	冷眼	1
2782	冷空气	4
29048	冷视	1
5413	冷静	7
5747	冷静下来	2
6416	冻存	1
17644	冻害	1
22858	冻干	1
19199	冻结	4
6493	冻龄	1
15226	净	3
13136	净化	5
17852	净化剂	1
1669	净系	1
27349	净资产	1
15777	准	4
21226	准予	2
11782	准入	10
11633	准则	4
33112	准售	1
388	准备	76
20497	准女	2
17167	准妈妈	2
6518	准时	2
3143	准确	26
21614	准许	1
15789	凉山	1
15786	凉山州	4
15773	凉山彝族自治州	1
2230	凉席	2
31214	凉床	1
31866	凉爽	1
3919	凉风	1
26626	凌乱	1
8554	凌乱不堪	1
1927	凌晨	31
6095	凌某	1
12537	减	15
12559	减不增	6
26332	减产	3
6245	减免	9
26444	减免税	1
14884	减免额	1
12387	减减	1
19969	减刑	1
17107	减半	5
8286	减小	2
1833	减少	80
30690	减幅	1
17101	减并	2
2762	减弱	10
26359	减征	1
10731	减慢	1
19026	减持	1
26355	减按	3
25250	减损	1
19069	减掉	1
2627	减排	3
17794	减收	1
14687	减法	2
3691	减灾	4
26089	减煤	1
14593	减税	17
1475	减缓	3
6325	减胎	1
17850	减脂	1
6338	减至	1
14600	减负	7
15853	减贫	3
14665	减费	2
2497	减轻	30
25816	减载	1
1280	减退	2
16065	减量	1
32380	减量化	1
30908	凑	1
31308	凑到	1
30459	凑合着	1
11461	凑在一起	1
17858	凑热闹	1
24946	凑齐	1
30700	凛冬	1
13737	凝心	1
23248	凝成	1
27580	凝神	2
18247	凝聚	3
13586	凝聚力	2
33235	凝胶	1
11161	凝视着	1
10055	几	7
30577	几万	1
32332	几万人	2
5258	几个	43
230	几乎	45
32435	几亩	1
15749	几件事	1
12241	几份	1
5454	几位	9
7203	几何	1
28747	几刀	1
15486	几分	2
4181	几分钟	4
6615	几包	2
29847	几区	1
6597	几十	1
17067	几十万	2
19899	几十万元	1
22388	几十个	1
20048	几十亿	1
2207	几十位	1
28719	几十公斤	1
3581	几十分钟	1
9774	几十名	1
30099	几十场	2
20977	几十块	1
16458	几十年	7
32532	几十次	1
10001	几十秒	1
3887	几十米	2
29219	几十首	1
27822	几千	2
18091	几千万	5
20038	几千万元	1
21178	几千名	1
12288	几千块	1
26042	几口	2
28418	几句	3
26248	几台	2
5380	几名	9
21441	几圈	2
4132	几声	2
31868	几处	1
26312	几大	2
978	几天	27
340	几家	5
28552	几层楼	1
19181	几届	1
18199	几岁	3
29254	几幅	1
5978	几年	48
25560	几度	2
32568	几张	1
24574	几户	1
21823	几所	2
31938	几斤	1
18952	几本书	1
32896	几条	1
32517	几根	1
23121	几棵	1
9992	几次	12
23533	几款	1
12302	几毛钱	1
8857	几点	3
31869	几片	1
6380	几率	3
27914	几率比	1
32395	几番	1
229	几百	2
19973	几百万元	2
8571	几百个	1
20159	几百人	1
20044	几百元	4
23193	几百名	1
30800	几百米	1
16418	几种	2
9671	几秒	1
27899	几笔	1
15154	几类	1
31858	几经	2
5711	几起	4
9484	几路	2
126	几辆	2
7716	几近	4
2478	几道	2
14971	几项	9
14399	凡	4
29805	凡响	1
13867	凡属	3
16622	凡是	8
28992	凡此种种	1
12135	凤凰	1
15499	凤凰卫视	2
18234	凤凰网	1
22569	凤台	2
5942	凤毛麟角	1
19111	凭	8
8192	凭借	7
31089	凭借着	1
30585	凭着	1
16783	凭证	3
31489	凯丽	1
898	凯文	1
11155	凯斯	1
10953	凯迪拉克	1
30546	凯里	1
30518	凯里市	1
7054	凶	3
4716	凶悍	1
6522	凶手	2
11158	凶杀案	1
9985	凶猛	1
31370	凶相	1
10520	凶相毕露	1
28582	凶神恶煞	1
6146	凶险	1
6939	凸显	6
1014	出	119
6438	出与	1
14078	出世	1
20365	出乎	1
27249	出乎意料	1
32457	出乎预料	1
31875	出了名	1
6950	出事	2
13730	出于	18
18193	出云	1
26672	出以	1
921	出价	4
1658	出任	19
24094	出众	1
26911	出借	2
10537	出入	4
9540	出入口	2
967	出入境	2
988	出具	9
31092	出击	1
2143	出动	10
8285	出勤率	1
26820	出卖	4
6834	出厂	6
17520	出厂价格	1
4915	出去	30
6511	出去玩	2
22378	出反	2
2148	出发	16
2093	出口	24
23914	出口商品	2
8104	出口型	2
29598	出口处	1
